"YEAR","METRIC","Sum(FINES)"
"2008","mobile phone use",155999
"2008","speed fines",2639479
"2009","mobile phone use",165252
"2009","speed fines",2576271
"2010","mobile phone use",171829
"2010","speed fines",2518363
"2011","mobile phone use",159874
"2011","speed fines",2856108
"2012","mobile phone use",166975
"2012","speed fines",3004162
"2013","mobile phone use",146415
"2013","speed fines",2907678
"2014","mobile phone use",132619
"2014","speed fines",3669800
"2015","mobile phone use",128385
"2015","speed fines",3797740
"2016","mobile phone use",114981
"2016","speed fines",3265399
"2017","mobile phone use",117909
"2017","non wearing seatbelts",30263
"2017","speed fines",3691401
"2018","mobile phone use",113981
"2018","non wearing seatbelts",57554
"2018","speed fines",4279816
"2019","mobile phone use",97367
"2019","non wearing seatbelts",52749
"2019","speed fines",3696730
"2020","mobile phone use",195151
"2020","non wearing seatbelts",35910
"2020","speed fines",3773473
"2021","mobile phone use",221080
"2021","non wearing seatbelts",33193
"2021","speed fines",4867138
"2022","mobile phone use",362342
"2022","non wearing seatbelts",80470
"2022","speed fines",4551342
"2023","mobile phone use",358162
"2023","non wearing seatbelts",85768
"2023","speed fines",4236133
"2023","unlicensed driving",54824
"2024","mobile phone use",330926
"2024","non wearing seatbelts",183315
"2024","speed fines",3323333
"2024","unlicensed driving",51150
