"YEAR","JURISDICTION","LOCATION","METRIC","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2023,"ACT","Major Cities of Australia","mobile phone use",288,0,0
2023,"ACT","Major Cities of Australia","non wearing seatbelts",75,0,0
2023,"ACT","Major Cities of Australia","speed fines",71961,0,0
2023,"ACT","Major Cities of Australia","unlicensed driving",260,215,708
2023,"NSW","Inner Regional Australia","mobile phone use",1801,0,22
2023,"NSW","Inner Regional Australia","non wearing seatbelts",3216,0,67
2023,"NSW","Inner Regional Australia","speed fines",77812,0,351
2023,"NSW","Inner Regional Australia","unlicensed driving",2297,0,7632
2023,"NSW","Major Cities of Australia","mobile phone use",11023,0,157
2023,"NSW","Major Cities of Australia","non wearing seatbelts",5434,0,168
2023,"NSW","Major Cities of Australia","speed fines",70915,0,929
2023,"NSW","Major Cities of Australia","unlicensed driving",4734,0,20160
2023,"NSW","Outer Regional Australia","mobile phone use",296,0,5
2023,"NSW","Outer Regional Australia","non wearing seatbelts",1245,0,21
2023,"NSW","Outer Regional Australia","speed fines",23054,0,81
2023,"NSW","Outer Regional Australia","unlicensed driving",635,0,2131
2023,"NSW","Remote Australia","mobile phone use",18,0,1
2023,"NSW","Remote Australia","non wearing seatbelts",117,0,3
2023,"NSW","Remote Australia","speed fines",1676,0,15
2023,"NSW","Remote Australia","unlicensed driving",52,0,318
2023,"NSW","Unknown","mobile phone use",202899,0,2
2023,"NSW","Unknown","non wearing seatbelts",202,0,5
2023,"NSW","Unknown","speed fines",707784,0,16
2023,"NSW","Unknown","unlicensed driving",126,0,486
2023,"NSW","Very Remote Australia","mobile phone use",5,0,0
2023,"NSW","Very Remote Australia","non wearing seatbelts",32,0,3
2023,"NSW","Very Remote Australia","speed fines",242,0,1
2023,"NSW","Very Remote Australia","unlicensed driving",15,0,109
2023,"NT","Unknown","mobile phone use",205,5,14
2023,"NT","Unknown","non wearing seatbelts",789,47,348
2023,"NT","Unknown","speed fines",43306,44,215
2023,"NT","Unknown","unlicensed driving",366,515,1712
2023,"QLD","Unknown","mobile phone use",80292,0,0
2023,"QLD","Unknown","non wearing seatbelts",37530,0,0
2023,"QLD","Unknown","speed fines",860626,0,0
2023,"QLD","Unknown","unlicensed driving",27701,0,0
2023,"SA","Unknown","mobile phone use",5769,0,0
2023,"SA","Unknown","non wearing seatbelts",2884,0,0
2023,"SA","Unknown","speed fines",203602,102,282
2023,"SA","Unknown","unlicensed driving",7059,1509,4479
2023,"TAS","Unknown","mobile phone use",2428,0,37
2023,"TAS","Unknown","non wearing seatbelts",2070,0,50
2023,"TAS","Unknown","speed fines",65040,0,361
2023,"TAS","Unknown","unlicensed driving",234,0,1567
2023,"VIC","Inner Regional Australia","mobile phone use",5598,0,0
2023,"VIC","Inner Regional Australia","non wearing seatbelts",8538,0,0
2023,"VIC","Inner Regional Australia","speed fines",222291,0,0
2023,"VIC","Inner Regional Australia","unlicensed driving",2319,0,0
2023,"VIC","Major Cities of Australia","mobile phone use",42295,0,0
2023,"VIC","Major Cities of Australia","non wearing seatbelts",20422,0,0
2023,"VIC","Major Cities of Australia","speed fines",1027996,0,0
2023,"VIC","Major Cities of Australia","unlicensed driving",6210,0,0
2023,"VIC","Outer Regional Australia","mobile phone use",479,0,0
2023,"VIC","Outer Regional Australia","non wearing seatbelts",519,0,0
2023,"VIC","Outer Regional Australia","speed fines",29990,0,0
2023,"VIC","Outer Regional Australia","unlicensed driving",664,0,0
2023,"VIC","Remote Australia","non wearing seatbelts",10,0,0
2023,"VIC","Remote Australia","speed fines",369,0,0
2023,"VIC","Remote Australia","unlicensed driving",6,0,0
2023,"VIC","Unknown","mobile phone use",1174,0,0
2023,"VIC","Unknown","non wearing seatbelts",911,0,0
2023,"VIC","Unknown","speed fines",21982,0,0
2023,"VIC","Unknown","unlicensed driving",86,0,0
2023,"WA","Unknown","mobile phone use",3592,7,157
2023,"WA","Unknown","non wearing seatbelts",1774,19,347
2023,"WA","Unknown","speed fines",807487,13,1557
2023,"WA","Unknown","unlicensed driving",2060,2097,15332
2024,"ACT","Major Cities of Australia","mobile phone use",27125,2,13
2024,"ACT","Major Cities of Australia","non wearing seatbelts",59,1,7
2024,"ACT","Major Cities of Australia","speed fines",68846,10,84
2024,"ACT","Major Cities of Australia","unlicensed driving",299,219,720
2024,"NSW","Inner Regional Australia","mobile phone use",1787,0,21
2024,"NSW","Inner Regional Australia","non wearing seatbelts",2846,0,74
2024,"NSW","Inner Regional Australia","speed fines",80803,0,389
2024,"NSW","Inner Regional Australia","unlicensed driving",2215,0,7404
2024,"NSW","Major Cities of Australia","mobile phone use",12314,0,172
2024,"NSW","Major Cities of Australia","non wearing seatbelts",4688,0,123
2024,"NSW","Major Cities of Australia","speed fines",77304,0,1013
2024,"NSW","Major Cities of Australia","unlicensed driving",6188,0,19803
2024,"NSW","Outer Regional Australia","mobile phone use",302,0,6
2024,"NSW","Outer Regional Australia","non wearing seatbelts",892,0,25
2024,"NSW","Outer Regional Australia","speed fines",23226,0,83
2024,"NSW","Outer Regional Australia","unlicensed driving",655,0,1840
2024,"NSW","Remote Australia","mobile phone use",16,0,3
2024,"NSW","Remote Australia","non wearing seatbelts",118,0,9
2024,"NSW","Remote Australia","speed fines",2037,0,3
2024,"NSW","Remote Australia","unlicensed driving",63,0,274
2024,"NSW","Unknown","mobile phone use",147575,0,5
2024,"NSW","Unknown","non wearing seatbelts",72394,0,2
2024,"NSW","Unknown","speed fines",722111,0,50
2024,"NSW","Unknown","unlicensed driving",222,0,954
2024,"NSW","Very Remote Australia","mobile phone use",3,0,1
2024,"NSW","Very Remote Australia","non wearing seatbelts",32,0,3
2024,"NSW","Very Remote Australia","speed fines",191,0,1
2024,"NSW","Very Remote Australia","unlicensed driving",12,0,90
2024,"NT","Unknown","mobile phone use",244,1,11
2024,"NT","Unknown","non wearing seatbelts",984,60,865
2024,"NT","Unknown","speed fines",48055,41,292
2024,"NT","Unknown","unlicensed driving",431,666,2537
2024,"QLD","Unknown","mobile phone use",75334,0,0
2024,"QLD","Unknown","non wearing seatbelts",39530,0,0
2024,"QLD","Unknown","speed fines",794883,0,0
2024,"QLD","Unknown","unlicensed driving",25135,0,0
2024,"SA","Inner Regional Australia","mobile phone use",188,0,0
2024,"SA","Inner Regional Australia","non wearing seatbelts",344,0,0
2024,"SA","Inner Regional Australia","speed fines",35588,14,77
2024,"SA","Inner Regional Australia","unlicensed driving",640,0,0
2024,"SA","Major Cities of Australia","mobile phone use",4055,0,0
2024,"SA","Major Cities of Australia","non wearing seatbelts",1341,0,0
2024,"SA","Major Cities of Australia","speed fines",120070,64,184
2024,"SA","Major Cities of Australia","unlicensed driving",4631,0,0
2024,"SA","Outer Regional Australia","mobile phone use",222,0,0
2024,"SA","Outer Regional Australia","non wearing seatbelts",519,0,0
2024,"SA","Outer Regional Australia","speed fines",21969,10,64
2024,"SA","Outer Regional Australia","unlicensed driving",884,0,0
2024,"SA","Remote Australia","mobile phone use",42,0,0
2024,"SA","Remote Australia","non wearing seatbelts",102,0,0
2024,"SA","Remote Australia","speed fines",3505,2,11
2024,"SA","Remote Australia","unlicensed driving",180,0,0
2024,"SA","Unknown","mobile phone use",73,0,0
2024,"SA","Unknown","non wearing seatbelts",44,0,0
2024,"SA","Unknown","speed fines",1582,1,2
2024,"SA","Unknown","unlicensed driving",162,1343,4415
2024,"SA","Very Remote Australia","mobile phone use",25,0,0
2024,"SA","Very Remote Australia","non wearing seatbelts",172,0,0
2024,"SA","Very Remote Australia","speed fines",1867,2,8
2024,"SA","Very Remote Australia","unlicensed driving",121,0,0
2024,"TAS","Unknown","mobile phone use",2815,0,32
2024,"TAS","Unknown","non wearing seatbelts",4105,2,79
2024,"TAS","Unknown","speed fines",74993,0,398
2024,"TAS","Unknown","unlicensed driving",253,17,1692
2024,"VIC","Inner Regional Australia","mobile phone use",5151,0,0
2024,"VIC","Inner Regional Australia","non wearing seatbelts",5919,0,0
2024,"VIC","Inner Regional Australia","speed fines",72054,0,0
2024,"VIC","Major Cities of Australia","mobile phone use",36725,0,0
2024,"VIC","Major Cities of Australia","non wearing seatbelts",42410,0,0
2024,"VIC","Major Cities of Australia","speed fines",551219,0,0
2024,"VIC","Outer Regional Australia","mobile phone use",313,0,0
2024,"VIC","Outer Regional Australia","non wearing seatbelts",798,0,0
2024,"VIC","Outer Regional Australia","speed fines",11546,0,0
2024,"VIC","Remote Australia","mobile phone use",0,0,0
2024,"VIC","Remote Australia","non wearing seatbelts",0,0,0
2024,"VIC","Remote Australia","speed fines",8,0,0
2024,"VIC","Unknown","mobile phone use",12886,0,0
2024,"VIC","Unknown","non wearing seatbelts",4077,0,0
2024,"VIC","Unknown","speed fines",138643,0,0
2024,"VIC","Unknown","unlicensed driving",7090,0,0
2024,"WA","Unknown","mobile phone use",3731,4,203
2024,"WA","Unknown","non wearing seatbelts",1941,23,383
2024,"WA","Unknown","speed fines",472833,23,1685
2024,"WA","Unknown","unlicensed driving",1969,2106,16773
